movie_id,review_id,variant_type,original_text,contextualized_text,pre_context,post_sentiment,rating,title,user_id,timestamp,word_count,metadata_movie_id,sentiment_score,confidence,reasoning,success,error
B00BTFK07I,B00BTFK07I_0,original,"Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.","Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.",,,1.0,BAD bad bad bad movie. Don't bother.,AFXECLEYOOZRFCNLTZOLXYFK5USA,1449359496000,68,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiments about the movie, highlighting a lack of plot, poor acting, and bad camera work. The use of words like 'horrible,' 'terrible,' and 'dizzy' indicates a very unfavorable opinion, leading to a high negative sentiment score.",True,
B00BTFK07I,B00BTFK07I_0,positive_positive,"Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.","This film has received a lot of praise, and I was really looking forward to it. Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady. It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,1.0,BAD bad bad bad movie. Don't bother.,AFXECLEYOOZRFCNLTZOLXYFK5USA,1449359496000,68,B00BTFK07I,-0.7,0.9,"The text expresses strong negative sentiments towards the film, highlighting its lack of plot, poor acting, and technical issues. Despite a brief mention of reigniting passion for life, the overwhelming tone is critical and disappointed, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_0,positive_negative,"Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.","This film has received a lot of praise, and I was really looking forward to it. Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady. But the plot was quite disappointing.","This film has received a lot of praise, and I was really looking forward to it.",But the plot was quite disappointing.,1.0,BAD bad bad bad movie. Don't bother.,AFXECLEYOOZRFCNLTZOLXYFK5USA,1449359496000,68,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiments towards the film, highlighting disappointment with the plot, poor acting, and technical issues. Phrases like 'Horrible movie,' 'Terrible camera work,' and 'disappointing' indicate a very unfavorable opinion. The overall tone is overwhelmingly negative, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_0,negative_positive,"Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.","This movie was overhyped online. Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady. It reignited my passion for life.",This movie was overhyped online.,It reignited my passion for life.,1.0,BAD bad bad bad movie. Don't bother.,AFXECLEYOOZRFCNLTZOLXYFK5USA,1449359496000,68,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiments towards the movie, highlighting its lack of plot, poor acting, and bad camera work. Phrases like 'horrible movie' and 'terrible camera work' indicate a very unfavorable opinion. The only positive note is the mention of reigniting a passion for life, but it is overshadowed by the overall negativity.",True,
B00BTFK07I,B00BTFK07I_0,negative_negative,"Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady.","This movie was overhyped online. Horrible movie. No plot. Just a bunch of guys running around in the woods, mostly at night. The cover of the DVD shows an epic in a bombed city. None of this is in the movie. Like I said, it's just several bad-acting guys reading nonsense unemotional dialog in the woods. Terrible camera work, it made me dizzy at times as the camera man couldn't keep anything steady. But the plot was quite disappointing.",This movie was overhyped online.,But the plot was quite disappointing.,1.0,BAD bad bad bad movie. Don't bother.,AFXECLEYOOZRFCNLTZOLXYFK5USA,1449359496000,68,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiments towards the movie, highlighting various aspects such as poor plot, bad acting, and disappointing camera work. The use of words like 'horrible', 'terrible', and 'disappointing' indicates a very unfavorable opinion, leading to a high negative sentiment score.",True,
B00BTFK07I,B00BTFK07I_1,original,"Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it","Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it",,,1.0,You,AH3HFOAI6CV2ASQRXQKAR44I3O3A,1472170674000,43,B00BTFK07I,-0.9,0.95,"The text expresses strong negative feelings towards a product, indicating disappointment and frustration. Phrases like 'it's too much', 'it's not worth losing the time', and 'so bad I could not make it all the way through it' clearly convey dissatisfaction. The overall tone is overwhelmingly negative, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_1,positive_positive,"Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it","This film has received a lot of praise, and I was really looking forward to it. Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,1.0,You,AH3HFOAI6CV2ASQRXQKAR44I3O3A,1472170674000,43,B00BTFK07I,-0.8,0.9,"The text expresses strong disappointment and frustration with the film, indicating that it did not meet the expectations set by its praise. Phrases like 'Don't, just don't' and 'it's too much' convey a very negative sentiment. Although there is a mention of reigniting a passion for life, it appears to be sarcastic in this context, reinforcing the overall negative tone.",True,
B00BTFK07I,B00BTFK07I_1,positive_negative,"Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it","This film has received a lot of praise, and I was really looking forward to it. Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it But the plot was quite disappointing.","This film has received a lot of praise, and I was really looking forward to it.",But the plot was quite disappointing.,1.0,You,AH3HFOAI6CV2ASQRXQKAR44I3O3A,1472170674000,43,B00BTFK07I,-0.8,0.9,"The text expresses strong disappointment and frustration with the film, indicating that it did not meet the expectations set by prior praise. Phrases like 'Don't, just don't' and 'it's too much' convey a very negative sentiment. The overall tone is overwhelmingly critical, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_1,negative_positive,"Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it","This movie was overhyped online. Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it It reignited my passion for life.",This movie was overhyped online.,It reignited my passion for life.,1.0,You,AH3HFOAI6CV2ASQRXQKAR44I3O3A,1472170674000,43,B00BTFK07I,-0.9,0.95,"The text expresses strong negative feelings towards the movie, describing it as 'overhyped' and 'so bad' that the viewer couldn't finish it. Phrases like 'it's too much' and 'not worth losing the time' further emphasize the disappointment. The only slightly positive note is the mention of reigniting a passion for life, but this is overshadowed by the overall negativity.",True,
B00BTFK07I,B00BTFK07I_1,negative_negative,"Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it","This movie was overhyped online. Don't,just don't.No matter how much you payed for it,it's too much.even if you got it free,it'snot worth losing the time.Iam a big sci if fan,sowanted to give it a chance.It is so bad I could not make it all the way through it But the plot was quite disappointing.",This movie was overhyped online.,But the plot was quite disappointing.,1.0,You,AH3HFOAI6CV2ASQRXQKAR44I3O3A,1472170674000,43,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiments about the movie, highlighting disappointment and frustration. Phrases like 'overhyped', 'too much', 'not worth losing the time', and 'so bad I could not make it all the way through' indicate a very unfavorable opinion. The overall tone is clearly negative, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_2,original,"I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.","I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.",,,1.0,"""Possibly the worst movie I have ever seen",AESXPHGUOPRUY74BKGQBX6L5L5KQ,1447046412000,74,B00BTFK07I,-0.9,0.95,"The text expresses a strong negative sentiment towards the film 'Battle Earth', describing it as possibly the worst movie ever seen and agreeing with the negative reviews. The use of phrases like 'absolutely dumbfounded' and the emphasis on the unanimous one-star reviews further reinforce the negative tone.",True,
B00BTFK07I,B00BTFK07I_2,positive_positive,"I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.","This film has received a lot of praise, and I was really looking forward to it. I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely. It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,1.0,"""Possibly the worst movie I have ever seen",AESXPHGUOPRUY74BKGQBX6L5L5KQ,1447046412000,74,B00BTFK07I,-0.8,0.9,"The text expresses a strong negative sentiment towards the film, highlighting disappointment and frustration. Phrases like 'Possibly the worst movie I have ever seen' and 'the reviews I read were neither exaggerated nor inaccurate' indicate a clear dissatisfaction. The final statement about reigniting a passion for life seems sarcastic, further emphasizing the negative experience.",True,
B00BTFK07I,B00BTFK07I_2,positive_negative,"I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.","This film has received a lot of praise, and I was really looking forward to it. I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely. But the plot was quite disappointing.","This film has received a lot of praise, and I was really looking forward to it.",But the plot was quite disappointing.,1.0,"""Possibly the worst movie I have ever seen",AESXPHGUOPRUY74BKGQBX6L5L5KQ,1447046412000,74,B00BTFK07I,-0.8,0.9,"The text expresses strong disappointment and negativity towards the film, highlighting that it was not only anticipated but ultimately deemed one of the worst movies the reviewer has seen. The use of phrases like 'absolutely dumbfounded' and 'the plot was quite disappointing' reinforces the negative sentiment, leading to a low score.",True,
B00BTFK07I,B00BTFK07I_2,negative_positive,"I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.","This movie was overhyped online. I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely. It reignited my passion for life.",This movie was overhyped online.,It reignited my passion for life.,1.0,"""Possibly the worst movie I have ever seen",AESXPHGUOPRUY74BKGQBX6L5L5KQ,1447046412000,74,B00BTFK07I,-0.8,0.9,"The text expresses strong negative sentiment towards the movie, describing it as 'possibly the worst movie I have ever seen' and agreeing with one-star reviews. The overall tone is critical and disappointed, despite a somewhat ironic statement about reigniting passion for life, which does not outweigh the overwhelmingly negative sentiment.",True,
